,PLAYER,POS_CFB,YEAR_RECRUITED,RNK_RECRUITED,STAR,247_SCORE,COLLEGE_CFB,HOME_CITY,HOME_STATE,LAT,LNG,YEAR_DRAFTED,DRAFT_RND,DRAFT_PICK,NFL_TEAM,POS_NFL,COLLEGE_NFL
875,Grady Jarrett,DT,2011,1161,3,0.8247,Clemson,Conyers,GA,33.6676103,-84.0176904,2015,5,137,ATL,NT,Clemson
876,Vincent Valentine,DT,2012,520,3,0.8774,Nebraska,Edwardsville,IL,38.8114364,-89.953157,2016,3,96,NWE,DT,Nebraska
877,Shaquelle Evans,WR,2009,92,4,0.9575,Notre Dame,Inglewood,CA,33.96185,-118.3550377,2014,4,115,NYJ,WR,UCLA
878,Latavius Murray,RB,2008,958,3,0.8333,UCF,Nedrow,NY,42.9750662,-76.1413133,2013,6,181,OAK,RB,UCF
879,Levine Toilolo,TE,2009,210,4,0.9117,Stanford,La Mesa,CA,32.7678288,-117.0230839,2013,4,133,ATL,TE,Stanford
880,Casey Hayward,ATH,2008,963,3,0.8333,Vanderbilt,Perry,GA,32.4586695,-83.7319658,2012,2,62,GNB,DB,Vanderbilt
881,Earl Wolff,ATH,2008,980,3,0.8333,N.C. State,Raeford,NC,34.9809996,-79.2241998,2013,5,136,PHI,DB,North Carolina State
882,Taylor Thompson,TE,2008,998,3,0.8333,SMU,Prosper,TX,33.2385546,-96.7865731,2012,5,145,TEN,TE,SMU
883,Josh Shaw,CB,2010,22,5,0.9867,Florida,Palmdale,CA,34.5793131,-118.1171108,2015,4,120,CIN,CB,USC
884,Antone Exum,S,2009,428,3,0.8795,Virginia Tech,Glen Allen,VA,37.6659781,-77.506374,2014,6,182,MIN,DB,Virginia Tech
885,Darren Waller,S,2011,901,3,0.8397,Georgia Tech,Kennesaw,GA,34.0234337,-84.6154897,2015,6,204,BAL,WR,Georgia Tech
886,Jordan Todman,RB,2008,1033,3,0.8306,Connecticut,South Dartmouth,MA,41.5917712,-70.9411491,2011,6,183,SDG,RB,Connecticut
887,Eddie Lacy,RB,2009,128,4,0.94,Alabama,Geismar,LA,30.2043633,-91.0226013,2013,2,61,GNB,RB,Alabama
888,Eric Reid,S,2010,57,4,0.9719,LSU,Geismar,LA,30.2043633,-91.0226013,2013,1,18,SFO,DB,LSU
889,Landon Collins,S,2012,7,5,0.9971,Alabama,Geismar,LA,30.2043633,-91.0226013,2015,2,33,NYG,SS,Alabama
890,Kiko Alonso,ILB,2008,1053,3,0.8292,Oregon,Los Gatos,CA,37.226611,-121.9746797,2013,2,46,BUF,LB,Oregon
891,Bjoern Werner,SDE,2010,440,3,0.8789,Florida State,Salisbury,CT,41.983426,-73.4212318,2013,1,24,IND,DE,Florida State
892,Randy Gregory,WDE,2011,1133,3,0.8266,Purdue,Fishers,IN,39.9555928,-86.0138729,2015,2,60,DAL,OLB,Nebraska
893,Jake Rodgers,TE,2010,1412,3,0.8337,Washington State,Spokane,WA,47.6579425,-117.4212265,2015,7,225,ATL,T,Eastern Washington
894,Bishop Sankey,RB,2011,230,4,0.9028,Washington,Spokane,WA,47.6579425,-117.4212265,2014,2,54,TEN,RB,Washington
895,Joe Dahl,OG,2011,1901,2,0.7667,N/A,Spokane,WA,47.6579425,-117.4212265,2016,5,151,DET,G,Washington State
